# timestamp tx ty tz qx qy qz qw
1621218775.623059 0.000004 -0.000586 0.002382 0.000137 -0.000273 0.000141 1.000000
1621218775.723134 0.001160 0.001444 0.001601 0.000162 -0.000541 0.000793 1.000000
1621218775.823315 0.000624 0.002069 0.000411 -0.000041 -0.000303 0.000303 1.000000
1621218775.922914 -0.000353 -0.003635 0.000696 -0.000125 -0.000548 -0.000001 1.000000
1621218776.023301 -0.000804 0.000941 0.001212 -0.000017 -0.000309 0.000370 1.000000
1621218776.123600 0.000901 0.000279 0.000965 -0.000096 -0.000456 0.000598 1.000000
1621218776.223507 0.000829 0.001707 0.002482 0.000008 -0.000293 0.000743 1.000000
1621218776.323287 -0.000606 0.003260 0.001051 0.000014 -0.000509 0.000844 1.000000
1621218776.423522 0.000076 0.002950 0.000860 0.000044 -0.000482 0.000606 1.000000
1621218776.523807 -0.001617 -0.002369 -0.000360 -0.000084 -0.000549 0.000102 1.000000
1621218776.623888 -0.002938 0.006993 0.005850 -0.000202 -0.000920 0.000482 0.999999
1621218776.723741 -0.002993 0.008620 0.005695 -0.000146 -0.000247 0.000729 1.000000
1621218776.823904 -0.003144 0.004745 0.003355 0.000065 -0.000526 0.000230 1.000000
1621218776.924125 -0.002507 0.004448 0.004793 -0.000116 -0.000317 0.000268 1.000000
1621218777.024002 -0.004393 0.006949 0.005196 0.000148 -0.000602 0.000426 1.000000
1621218777.124211 -0.002229 0.005477 0.005110 -0.000118 -0.000695 0.000244 1.000000
